labels,text
1,Happy one year vlogaversary
1,"Dear Logan, I really wanna get your Merch but I don't have the money. We don't even have a Car. It would really make my day to have any of your merch"
1,Casey is still better then logan
1,He happy cause he in a movie
1,It's been fun watching you grow. I'm at 42 days straight and can't seem to grow. Any advice?
1,"lol PEWDIEPIE accidentally played song with words nig%%r during his stream, u can watch that part on my channel, i've just uploaded. Like so more ppl could see this"
1,I love Logan and Jake so much and thay are so amazing and I look up to them so much 😍💋💙👍
1,if you get allot of diss likes do you get on the top comments? lets see diss like this please
1,I love you so much I love to meet you But I live in Israel You really inspire me I really like your channel Keep doing what you do\nBecause everyone loves it and will be Unique and Pashan will be creative and I hope you will see it bye
1,👈 watch by clicking here you can see people's are entertaining
1,I was dying when he threw the midget on the ground at the end LMAO
1,"Evan is being a douch Logans getting pissed, Logan should have went to smash his game system then evan would have cried 😂 & Evans not gonna be able to take care of a pitbull tell his ass no, its gonna kill kong !!!"
1,Why is trump trending on YouTube .. oh wait this isn't trump sure looks like him tho
1,When I saw this vid at first I was like naaahhhhh to tired but I looked at it again and saw the title and I was like H🔥LLLLLLZZZZ YEEEAAAHHHH and as a anniversary present Logan Paul I'm gonna b u for Halloween to show how much u hav changed ma life and I'm not even joking about it 😂😂😂
1,I subscribed today. This was only the second video I've watched and I had no idea it was a year special.
1,Jake started YouTube 3 years ago his first vid is 3 years ago so technically Logan hit it first
1,"This looks like a great video, but after you are done would you be kind enough to check out my new YouTube channel and give me some feedback? Maybe even subscribing? :)"
1,Ok. So if you would. What editing things do you use for your videos? I'm trying to start but have no idea how to make cool edits.
1,by the way why do you have a card board of the picture of alya do you like to look at it lol
1,Congrats Logan love u so much someday I would love to meet u #1 fan of the logang ❤️
1,Um well not the best Vlog was expecting more but congrats
1,"No one fucking cares. You're a 12 year old. There comes a point where you're too old for the whole I'm so goofy and fun every second of every day schtick. Yeah you're impressing douchey 14 year olds who waste their lives on YouTube but to the real world you and your fucktard brother are nothing more than a pair of over privileged, white privileged toddlers. Grow the fuck up man. You think this will be your life forever. One day you're going to face the real world and realize you can't just jump around and scream your way to a real job. Or you can't hair flip your way out of an inevitable date rape charge."
1,yu are the best
1,Well done I LOVE! You so much :D
1,"I am very happy for this man and we need to spread more love. United we stand, divided we fall."
1,😂😂😂😂😭 I love Evan so much!!!
1,DAFUQ did  i just watch ;)
1,1 on trending good job
1,hi first
1,Happy vlogiversary
1,MY BOIIII IS #1 TRENDING LMAO
1,*eyyyjooooo Good morning loooganng WHATS POPPPINNN?!?*
1,Good Job on trending Logan.
1,Love you Pewdiepie don't apologize your fine
1,"I am seeing so much idiocy and lack of self awareness in these comments. Let me hit you all with some knowledge: the N word is not okay to say because it has body counts and a huge amount of human suffering attached to it. The word goes back to slave owning days, same as the N word with no hard r. Black folks can say the word because it is theirs to reclaim. I'm a person of color and that word is not in my vocabulary. Why? Because I'm not black, and I'm aware of the oppression tied to this word. I'm also not a piss baby arguing why I should be able to use such a gross word because again, this word is not mine to reclaim. So yeah, it's fine when all these black rappers use the word because it's a part of their personal history. As a grown ass woman I am still in disbelief that people can't have a pinch of empathy for their fellow human beings. If you're not black, you are irrelevant in the conversation of whether you can say the n word. You can't, bottom line, and if you're still arguing your right to say it, well then I have news for you: you're a racist."
1,Pewds we are all behind you. This is just another attack on your character. We love you
1,Everybody says that when u play call of duty and other games it's immature but can be over looked by great people it takes someone low to sit and fight about it it's life man
1,Other streamers do the same thing and don't apologize. Here is a prime example of a truly moral person he tries so hard even censors himself to try and be a good example but he makes one tiny mistake and they attack him.  I saw an example where a teachers writes the time tables for 9 he starts by writing 9x1=10 then writes the rest right. The kids make fun because he got one wrong but fail to acknowledge that the rest are correct it goes to show people will quickly make fun of your mistakes but ignore your accomplishments. Keep doing what you're doing pewds you truly are an inspiration
1,"I forgot that pewdiepie's fandom is a majority white people 😒.\n IF 👏 YOU'RE 👏 WHITE 👏 DONT 👏 TELL 👏 POC 👏 HOW 👏 THEY 👏 SHOULD 👏 FEEL 👏. Our ancestors paid for that word with their own blood, so poc today can use it how ever we want. You cannot tell us how we should feel. Y'all are disgusting for backing up your problematic fave and I'm pretty sure he did this before. Pewdiepie is canceled."
1,And this could in all honestly become a good thing for you. You sit on a platform where you could really educate people especially when so many of your fans seem to think it's okay to be said. Really learn about the history of the word and come back to us if you can because you could really help educate people and that's powerful.
1,What the hell is wrong with everyone who's talking badly about him he said the word by accident it's ok pewdiepie you're super cool we all love you the people who are here and supporting you😊❤️
1,"Oh no you're famous so theyre take this outta proportion, keemstar and idubbz didnt get attacked by media just because theyre smaller"
1,Y'all will forgive him for anything lol
1,i think its funny how he said one word and all of the sudden its the end of the world i get it words hurt but you all need to grow up honestly because i can say this the fact that you get offended by a word is dissapointing like seriously theres so much worse one youtube but no one does anything about that grow up!! and at least he had the decency to own up to what you did he said this to everyone in the entire world lets you get on camara and apologize infront of millions of people i bet you cant do it..
1,i am convinced a large percentage of PewDiePie's audience are 12 year old white boys who think they are edgy by saying the N word.
1,I like how when other people say these things its fine but when a famous person says this everyone loses their heads
1,"Its just a word, calm down"
1,"lets be honest here guys, we all have let the word slip before... cmon now lol, we are confronted with the word on tv, music, shows, friends, cmon now we have all let it slip atleast once....  lets not front"
1,"So humble! It's ok Pewds, u didn't mean to cause the drama that crowds try to create. U are a good example to your fans."
1,👈 watch by clicking here people's are entertaining
